#,Code,Description,"Ad status","Expires on",Reserved,Client,Channel,Office,"Updated at"
1946,2379,N/A,active,N/A,N/A,L'Occitane,N/A,N/A,"2018-08-29 16:00:58"
1947,mybag,N/A,active,N/A,N/A,L'Occitane,Influencers,N/A,"2018-08-27 15:38:17"
1948,Cute24,"Discount 10%",active,N/A,"Arwa AlOmrani",MumzWorld,Others,N/A,"2018-08-26 15:54:10"
1949,Hala34,"20% off on all clothing",N/A,2018-08-19,N/A,Sivvi,Miners,N/A,"2018-08-15 22:32:08"
1950,Hala33,"20% off on all clothing",N/A,2018-08-19,N/A,Sivvi,Miners,N/A,"2018-08-15 22:31:57"
1951,Hala32,"20% off on all clothing",N/A,2018-08-19,N/A,Sivvi,Miners,N/A,"2018-08-15 22:30:32"
1952,Hala30,"20% off on all clothing",N/A,2018-08-19,"Arwa Dhl",Sivvi,Influencers,N/A,"2018-08-15 22:30:01"
1953,eid5,"5% on Gross Order, Any Customer, Multiple Usage",active,N/A,"Zeyna Sanjania",Sprii,Influencers,N/A,"2018-08-15 21:51:56"
1954,eid4,"5% on Gross Order, Any Customer, Multiple Usage",active,N/A,Komal,Sprii,Influencers,N/A,"2018-08-15 21:23:03"
1955,eid2,"5% on Gross Order, Any Customer, Multiple Usage",active,N/A,"Waheeba  Esri",Sprii,Influencers,N/A,"2018-08-15 21:09:59"
1956,eid3,"5% on Gross Order, Any Customer, Multiple Usage",active,N/A,"Virdah Javed Khan",Sprii,Influencers,N/A,"2018-08-15 21:09:36"
1957,Eid79,"20% off everything",Active,2018-08-20,N/A,Elabelz,Miners,N/A,"2018-08-15 18:46:46"
1958,Eid10,"20% off everything",Active,2018-08-20,N/A,Elabelz,Miners,N/A,"2018-08-15 18:46:46"
1959,Eid31,"20% off everything",Active,2018-08-20,N/A,Elabelz,Miners,N/A,"2018-08-15 18:46:46"
1960,Eid47,"20% off everything",Active,2018-08-20,N/A,Elabelz,Miners,N/A,"2018-08-15 18:46:46"
1961,Eid34,"20% off everything",Active,2018-08-20,N/A,Elabelz,Miners,N/A,"2018-08-15 18:46:46"
1962,Eid30,"20% off everything",Active,2018-08-20,N/A,Elabelz,Miners,N/A,"2018-08-15 18:46:46"
1963,Eid90,"20% off everything",Active,2018-08-20,N/A,Elabelz,Miners,N/A,"2018-08-15 18:46:46"
1964,Eid43,"20% off everything",Active,2018-08-20,N/A,Elabelz,Miners,N/A,"2018-08-15 18:46:46"
1965,Eid39,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Influencers,N/A,"2018-08-15 18:01:16"
1966,Eid41,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Influencers,N/A,"2018-08-15 18:01:16"
1967,Eid42,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Influencers,N/A,"2018-08-15 18:01:16"
1968,Eid43,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Influencers,N/A,"2018-08-15 18:01:16"
1969,Eid44,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Influencers,N/A,"2018-08-15 18:01:16"
1970,Eid45,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Influencers,N/A,"2018-08-15 18:01:16"
1971,Eid46,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Influencers,N/A,"2018-08-15 18:01:16"
1972,Eid47,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Influencers,N/A,"2018-08-15 18:01:16"
1973,Eid48,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Influencers,N/A,"2018-08-15 18:01:16"
1974,Eid49,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Influencers,N/A,"2018-08-15 18:01:16"
1975,Eid51,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Influencers,N/A,"2018-08-15 18:01:16"
1976,Eid52,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Influencers,N/A,"2018-08-15 18:01:16"
